STARFIRE_INCIDENT_ID,INCIDENT_DATETIME,ALARM_BOX_BOROUGH,ALARM_BOX_NUMBER,ALARM_BOX_LOCATION,INCIDENT_BOROUGH,ZIPCODE,POLICEPRECINCT,CITYCOUNCILDISTRICT,COMMUNITYDISTRICT,COMMUNITYSCHOOLDISTRICT,CONGRESSIONALDISTRICT,ALARM_SOURCE_DESCRIPTION_TX,ALARM_LEVEL_INDEX_DESCRIPTION,HIGHEST_ALARM_LEVEL,INCIDENT_CLASSIFICATION,INCIDENT_CLASSIFICATION_GROUP,DISPATCH_RESPONSE_SECONDS_QY,FIRST_ASSIGNMENT_DATETIME,FIRST_ACTIVATION_DATETIME,FIRST_ON_SCENE_DATETIME,INCIDENT_CLOSE_DATETIME,VALID_DISPATCH_RSPNS_TIME_INDC,VALID_INCIDENT_RSPNS_TIME_INDC,INCIDENT_RESPONSE_SECONDS_QY,INCIDENT_TRAVEL_TM_SECONDS_QY,ENGINES_ASSIGNED_QUANTITY,LADDERS_ASSIGNED_QUANTITY,OTHER_UNITS_ASSIGNED_QUANTITY
1600105250110134,01/01/2016 01:10:10 AM,MANHATTAN,525,BROADWAY & 12 ST,MANHATTAN,10003,6,2,102,2,12,UCT/911,Initial Alarm,First Alarm,Assist Civilian - Non-Medical,NonMedical Emergencies,5,01/01/2016 01:10:15 AM,01/01/2016 01:10:25 AM,01/01/2016 01:13:03 AM,01/01/2016 01:26:57 AM,N,Y,173,168,0,1,0
1600105780110145,01/01/2016 01:13:24 AM,MANHATTAN,578,5 AVE & 18 ST,MANHATTAN,10003,13,2,105,2,12,PD Link/Medical,Initial Alarm,First Alarm,Medical - Assist Civilian,Medical Emergencies,88,01/01/2016 01:14:52 AM,01/01/2016 01:15:11 AM,01/01/2016 01:15:44 AM,01/01/2016 01:20:51 AM,N,N,140,52,1,0,0
1600104630110185,01/01/2016 01:46:36 AM,MANHATTAN,463,3 AVE & 12 ST,MANHATTAN,10003,9,2,103,1,12,PD Link/Medical,Initial Alarm,First Alarm,Medical - Assist Civilian,Medical Emergencies,7,01/01/2016 01:46:43 AM,01/01/2016 01:46:56 AM,01/01/2016 01:53:51 AM,01/01/2016 01:59:23 AM,N,Y,435,428,1,0,0
1600104710110231,01/01/2016 02:11:57 AM,MANHATTAN,471,3 AVE & E 14 ST,MANHATTAN,10003,13,2,106,2,12,EMS Link/Medical,Initial Alarm,First Alarm,Medical - EMS Link 10-91,Medical Emergencies,9,01/01/2016 02:12:06 AM,01/01/2016 02:12:54 AM,01/01/2016 02:19:36 AM,01/01/2016 02:19:47 AM,N,Y,459,450,1,0,0
1600105660210240,01/01/2016 02:16:47 AM,MANHATTAN,566,UNION SQ WEST & E 15 ST,MANHATTAN,10003,13,2,105,2,12,Private Fire Alarm,DEFAULT RECORD,First Alarm,Non-Medical MFA - Private Fire Alarm,NonMedical MFAs,53,01/01/2016 02:17:40 AM,01/01/2016 02:17:51 AM,01/01/2016 02:22:00 AM,01/01/2016 02:23:18 AM,N,Y,313,260,2,1,1
1600104640110247,01/01/2016 02:25:14 AM,MANHATTAN,464,4 AVE & 13 ST,MANHATTAN,10003,9,2,102,2,12,EMS Link/Medical,Initial Alarm,First Alarm,Medical - Assist Civilian,Medical Emergencies,6,01/01/2016 02:25:20 AM,01/01/2016 02:25:39 AM,01/01/2016 02:27:53 AM,01/01/2016 02:37:31 AM,N,Y,159,153,1,0,0
1600104450210394,01/01/2016 04:02:38 AM,MANHATTAN,445,1 AVE & ST. MARKS PL,MANHATTAN,10003,9,2,103,1,12,EMS Link/Medical,Initial Alarm,First Alarm,Medical - Assist Civilian,Medical Emergencies,32,01/01/2016 04:03:10 AM,01/01/2016 04:03:47 AM,01/01/2016 04:08:09 AM,01/01/2016 04:46:36 AM,N,Y,331,299,1,0,0
1600104220110402,01/01/2016 04:07:34 AM,MANHATTAN,422,2 AVE & 3 ST,MANHATTAN,10003,9,2,103,1,12,UCT/911,Initial Alarm,First Alarm,Assist Civilian - Non-Medical,NonMedical Emergencies,7,01/01/2016 04:07:41 AM,01/01/2016 04:08:10 AM,01/01/2016 04:13:32 AM,01/01/2016 04:23:07 AM,N,Y,358,351,0,1,0
1600103960110515,01/01/2016 06:23:07 AM,MANHATTAN,396,BROADWAY & 8 ST,MANHATTAN,10003,9,2,102,2,12,EMS Link/Medical,Initial Alarm,First Alarm,Medical - Assist Civilian,Medical Emergencies,10,01/01/2016 06:23:17 AM,01/01/2016 06:23:44 AM,01/01/2016 06:27:05 AM,01/01/2016 06:38:51 AM,N,Y,238,228,1,0,0
1600104730110596,01/01/2016 08:55:32 AM,MANHATTAN,473,2 AVE & E 15 ST,MANHATTAN,10003,13,2,106,2,12,UCT/911,Initial Alarm,First Alarm,Vehicle Accident - Other,NonMedical Emergencies,39,01/01/2016 08:56:11 AM,01/01/2016 08:56:30 AM,01/01/2016 08:59:10 AM,01/01/2016 09:19:22 AM,N,Y,218,179,1,1,1
1600103950110813,01/01/2016 02:54:13 PM,MANHATTAN,395,4 AVE & 8 ST,MANHATTAN,10003,9,2,102,2,12,PD Link/Medical,Initial Alarm,First Alarm,Medical - PD Link 10-91,Medical Emergencies,6,01/01/2016 02:54:19 PM,01/01/2016 02:54:34 PM,01/01/2016 02:57:28 PM,01/01/2016 03:06:57 PM,N,Y,195,189,1,0,0
