ZIPCODE,no_of_incidents
10456,3983
10029,3749
11207,3477
11212,3467
11206,3213
10002,3141
10027,2845
10453,2827
10467,2788
10457,2749
11201,2710
11208,2707
11226,2705
11221,2605
10451,2591
11233,2566
10458,2498
10003,2350
10019,2344
10035,2338
10452,2335
10025,2288
11236,2237
10454,2189
10455,2160
10001,2099
11234,2092
10009,2088
10314,2071
11213,2050
10460,2039
10036,1950
10459,1889
11203,1886
10463,1869
11216,1863
11101,1863
10466,1862
11235,1844
10468,1826
10016,1825
10011,1824
10472,1761
11385,1740
11224,1719
10473,1700
11211,1679
11691,1666
11230,1664
10032,1644
10469,1632
11229,1622
11434,1618
11220,1610
11205,1566
10462,1565
11214,1562
11238,1560
11217,1534
11432,1534
11225,1533
11368,1524
10461,1521
11223,1512
10013,1489
11215,1480
10023,1470
10031,1470
11354,1465
11218,1435
11209,1421
10022,1406
11377,1398
10024,1381
11435,1376
10026,1354
10018,1354
10304,1350
11219,1339
11373,1330
11237,1323
11210,1285
10301,1273
10465,1273
10033,1235
11375,1232
11231,1226
11433,1212
10030,1204
10039,1196
11204,1196
10475,1194
10128,1176
10306,1155
10312,1153
10014,1147
10012,1115
11372,1109
11222,1096
10010,1095
11355,1069
10017,1067
10305,1040
10034,1037
11249,1031
11106,989
10065,966
11420,935
10028,916
11413,916
10038,906
10040,901
11412,875
10021,872
11419,871
11367,848
10037,830
11418,773
11102,752
11357,740
10303,727
11365,718
11228,710
11374,700
10310,698
11423,679
10007,678
10309,674
11232,671
11105,671
11378,657
11103,651
11422,645
11369,611
11414,609
11692,577
11379,575
11421,575
11417,570
11364,562
11694,559
11358,547
10474,544
11429,542
11361,526
10471,519
10308,516
11427,512
11104,504
10302,498
11239,472
10075,468
11436,459
11356,457
10470,434
11416,434
11362,393
11693,375
11411,372
11370,371
10004,350
11428,336
11360,334
11415,332
11366,325
11426,314
10307,306
11004,303
10005,271
10006,194
11363,164
10464,147
10044,127
11430,91
11697,80
10020,77
10282,73
10069,72
11005,69
10280,67
11040,67
11001,54
11109,43
10281,27
10103,26
10119,24
10112,18
10107,11
10041,11
10803,10
11241,7
10048,7
10129,6
10154,6
11242,5
10123,4
10000,3
11359,3
10162,3
10111,3
10153,3
11251,2
