,STARFIRE_INCIDENT_ID,INCIDENT_DATETIME,ALARM_BOX_BOROUGH,ALARM_BOX_NUMBER,ALARM_BOX_LOCATION,INCIDENT_BOROUGH,ZIPCODE,POLICEPRECINCT,CITYCOUNCILDISTRICT,COMMUNITYDISTRICT,COMMUNITYSCHOOLDISTRICT,CONGRESSIONALDISTRICT,ALARM_SOURCE_DESCRIPTION_TX,ALARM_LEVEL_INDEX_DESCRIPTION,HIGHEST_ALARM_LEVEL,INCIDENT_CLASSIFICATION,INCIDENT_CLASSIFICATION_GROUP,DISPATCH_RESPONSE_SECONDS_QY,FIRST_ASSIGNMENT_DATETIME,FIRST_ACTIVATION_DATETIME,FIRST_ON_SCENE_DATETIME,INCIDENT_CLOSE_DATETIME,VALID_DISPATCH_RSPNS_TIME_INDC,VALID_INCIDENT_RSPNS_TIME_INDC,INCIDENT_RESPONSE_SECONDS_QY,INCIDENT_TRAVEL_TM_SECONDS_QY,ENGINES_ASSIGNED_QUANTITY,LADDERS_ASSIGNED_QUANTITY,OTHER_UNITS_ASSIGNED_QUANTITY,LATITUDE,LONGITUDE
0,1.60011E+15,1/1/16 1:10,MANHATTAN,525,BROADWAY & 12 ST,MANHATTAN,10003,6,2,102,2,12,UCT/911,Initial Alarm,First Alarm,Assist Civilian - Non-Medical,NonMedical Emergencies,5,1/1/16 1:10,1/1/16 1:10,1/1/16 1:13,1/1/16 1:26,N,Y,173,168,0,1,0,40.733201,-73.9911174
1,1.6001E+15,1/1/16 1:46,MANHATTAN,463,3 AVE & 12 ST,MANHATTAN,10003,9,2,103,1,12,PD Link/Medical,Initial Alarm,First Alarm,Medical - Assist Civilian,Medical Emergencies,7,1/1/16 1:46,1/1/16 1:46,1/1/16 1:53,1/1/16 1:59,N,Y,435,428,1,0,0,40.7319753,-73.9881577
2,1.6001E+15,1/1/16 2:11,MANHATTAN,471,3 AVE & E 14 ST,MANHATTAN,10003,13,2,106,2,12,EMS Link/Medical,Initial Alarm,First Alarm,Medical - EMS Link 10-91,Medical Emergencies,9,1/1/16 2:12,1/1/16 2:12,1/1/16 2:19,1/1/16 2:19,N,Y,459,450,1,0,0,40.7332802,-73.9871961
3,1.60011E+15,1/1/16 2:16,MANHATTAN,566,UNION SQ WEST & E 15 ST,MANHATTAN,10003,13,2,105,2,12,Private Fire Alarm,DEFAULT RECORD,First Alarm,Non-Medical MFA - Private Fire Alarm,NonMedical MFAs,53,1/1/16 2:17,1/1/16 2:17,1/1/16 2:22,1/1/16 2:23,N,Y,313,260,2,1,1,40.7358984,-73.9912281
4,1.6001E+15,1/1/16 6:23,MANHATTAN,396,BROADWAY & 8 ST,MANHATTAN,10003,9,2,102,2,12,EMS Link/Medical,Initial Alarm,First Alarm,Medical - Assist Civilian,Medical Emergencies,10,1/1/16 6:23,1/1/16 6:23,1/1/16 6:27,1/1/16 6:38,N,Y,238,228,1,0,0,40.7305773,-73.9924238
5,1.6001E+15,1/1/16 8:55,MANHATTAN,473,2 AVE & E 15 ST,MANHATTAN,10003,13,2,106,2,12,UCT/911,Initial Alarm,First Alarm,Vehicle Accident - Other,NonMedical Emergencies,39,1/1/16 8:56,1/1/16 8:56,1/1/16 8:59,1/1/16 9:19,N,Y,218,179,1,1,1,40.7330369,-73.9844118
6,1.6001E+15,1/1/16 16:09,MANHATTAN,465,2 AVE & 13 ST,MANHATTAN,10003,9,2,103,1,12,UCT/911,Initial Alarm,First Alarm,Odor - Other Than Smoke,NonMedical Emergencies,15,1/1/16 16:09,1/1/16 16:09,1/1/16 16:14,1/1/16 16:24,N,Y,316,301,2,2,2,40.7316589,-73.9854323
7,1.6001E+15,1/1/16 16:28,MANHATTAN,465,2 AVE & 13 ST,MANHATTAN,10003,9,2,103,1,12,Phone,Initial Alarm,First Alarm,Assist Civilian - Non-Medical,NonMedical Emergencies,42,1/1/16 16:28,1/1/16 16:28,1/1/16 16:34,1/1/16 16:45,N,Y,376,334,0,1,0,40.7316589,-73.9854323
8,1.6002E+15,1/2/16 10:29,MANHATTAN,454,3 AVE & E 10 ST,MANHATTAN,10003,9,2,103,1,12,UCT/911,Initial Alarm,First Alarm,Odor - Other Than Smoke,NonMedical Emergencies,9,1/2/16 10:29,1/2/16 10:29,1/2/16 10:31,1/2/16 10:44,N,Y,114,105,2,2,1,40.7307173,-73.989061
9,1.6002E+15,1/2/16 11:27,MANHATTAN,494,3 AVE & E 20 ST,MANHATTAN,10003,13,2,106,2,12,EMS Link/Medical,Initial Alarm,First Alarm,Medical - Assist Civilian,Medical Emergencies,6,1/2/16 11:27,1/2/16 11:27,1/2/16 11:31,1/2/16 11:41,N,Y,217,211,1,0,0,40.736971,-73.9845136
10,1.6002E+15,1/2/16 17:25,MANHATTAN,473,2 AVE & E 15 ST,MANHATTAN,10003,13,2,106,2,12,Phone,Initial Alarm,First Alarm,Assist Civilian - Non-Medical,NonMedical Emergencies,79,1/2/16 17:26,1/2/16 17:26,1/2/16 17:31,1/2/16 17:41,N,Y,401,322,0,1,0,40.7330369,-73.9844118
11,1.6002E+15,1/2/16 18:47,MANHATTAN,478,3 AVE & E 16 ST,MANHATTAN,10003,13,2,106,2,12,Private Fire Alarm,Initial Alarm,First Alarm,Utility Emergency - Electric,NonMedical Emergencies,49,1/2/16 18:48,1/2/16 18:48,1/2/16 18:52,1/2/16 19:04,N,Y,291,242,3,2,1,40.7346182,-73.986211
12,1.6002E+15,1/2/16 19:45,MANHATTAN,396,BROADWAY & 8 ST,MANHATTAN,10003,6,2,102,2,12,PD Link/Medical,Initial Alarm,First Alarm,Medical - Assist Civilian,Medical Emergencies,11,1/2/16 19:45,1/2/16 19:45,1/2/16 19:50,1/2/16 19:55,N,Y,349,338,1,0,0,40.7305773,-73.9924238
13,1.6003E+15,1/3/16 2:29,MANHATTAN,471,3 AVE & E 14 ST,MANHATTAN,10003,9,2,103,1,12,UCT/911,Initial Alarm,First Alarm,Utility Emergency - Gas,NonMedical Emergencies,12,1/3/16 2:29,1/3/16 2:30,1/3/16 2:34,1/3/16 2:41,N,Y,259,247,2,2,1,40.7332802,-73.9871961
14,1.6003E+15,1/3/16 8:14,MANHATTAN,437,2 AVE & E 7 ST,MANHATTAN,10003,9,2,103,1,12,UCT/911,Initial Alarm,First Alarm,Defective Oil Burner,NonMedical Emergencies,7,1/3/16 8:14,1/3/16 8:14,1/3/16 8:17,1/3/16 8:41,N,Y,195,188,3,2,1,40.7279634,-73.9881305
15,1.60031E+15,1/3/16 12:01,MANHATTAN,525,BROADWAY & 12 ST,MANHATTAN,10003,9,2,102,2,12,UCT/911,Initial Alarm,First Alarm,Multiple Dwelling 'A' - Food on the stove fire,Structural Fires,9,1/3/16 12:01,1/3/16 12:02,1/3/16 12:04,1/3/16 12:15,N,Y,144,135,3,2,1,40.733201,-73.9911174
16,1.6003E+15,1/3/16 17:11,MANHATTAN,486,3 AVE & E 18 ST,MANHATTAN,10003,13,2,106,2,12,EMS Link/Medical,Initial Alarm,First Alarm,Medical - Assist Civilian,Medical Emergencies,6,1/3/16 17:11,1/3/16 17:11,1/3/16 17:20,1/3/16 17:29,N,Y,520,514,1,0,0,40.7357932,-73.9853797
17,1.60031E+15,1/3/16 18:35,MANHATTAN,525,BROADWAY & 12 ST,MANHATTAN,10003,9,2,102,2,12,PD Link/Medical,Initial Alarm,First Alarm,Medical - PD Link 10-91,Medical Emergencies,4,1/3/16 18:35,1/3/16 18:35,1/3/16 18:41,1/3/16 18:42,N,Y,374,370,1,0,0,40.733201,-73.9911174
18,1.6003E+15,1/3/16 21:59,MANHATTAN,448,2 AVE & 9 ST,MANHATTAN,10003,9,2,103,1,12,UCT/911,Initial Alarm,First Alarm,Odor - Other Than Smoke,NonMedical Emergencies,9,1/3/16 21:59,1/3/16 22:00,1/3/16 22:02,1/3/16 22:23,N,Y,188,179,3,2,1,40.7291746,-73.9872494
19,1.6003E+15,1/3/16 23:00,MANHATTAN,489,2 AVE & E 19 ST,MANHATTAN,10003,13,2,106,2,12,PD Link/Medical,Initial Alarm,First Alarm,Medical - Assist Civilian,Medical Emergencies,6,1/3/16 23:00,1/3/16 23:00,1/3/16 23:06,1/3/16 23:46,N,Y,363,357,1,0,0,40.7354347,-73.9826915
20,1.6004E+15,1/4/16 1:47,MANHATTAN,486,3 AVE & E 18 ST,MANHATTAN,10003,13,2,106,2,12,EMS Link/Medical,Initial Alarm,First Alarm,Medical - Assist Civilian,Medical Emergencies,6,1/4/16 1:47,1/4/16 1:48,1/4/16 1:52,1/4/16 2:04,N,Y,309,303,1,0,0,40.7357932,-73.9853797
21,1.60041E+15,1/4/16 9:22,MANHATTAN,566,UNION SQ WEST & E 15 ST,MANHATTAN,10003,13,2,105,2,12,PD Link/Medical,Initial Alarm,First Alarm,Medical - Assist Civilian,Medical Emergencies,11,1/4/16 9:23,1/4/16 9:23,1/4/16 9:28,1/4/16 9:54,N,Y,328,317,1,0,0,40.7358984,-73.9912281
22,1.6004E+15,1/4/16 9:36,MANHATTAN,488,IRVING PL & E 19 ST,MANHATTAN,10003,13,2,106,2,12,Phone,Initial Alarm,First Alarm,Assist Civilian - Non-Medical,NonMedical Emergencies,584,1/4/16 9:46,1/4/16 9:46,1/4/16 9:49,1/4/16 9:53,N,Y,781,197,0,1,0,40.7370595,-73.9865336
