INCIDENT_RESPONSE_SECONDS,num_of_incidents_same_time
248,1108
238,1102
249,1086
281,1077
257,1066
246,1059
241,1056
244,1054
266,1052
251,1051
259,1049
263,1048
233,1047
253,1044
250,1038
268,1037
232,1036
237,1036
265,1036
267,1035
274,1031
273,1029
256,1023
225,1023
227,1022
255,1022
271,1021
234,1020
258,1020
272,1016
245,1014
270,1013
242,1013
260,1013
228,1012
254,1012
269,1011
243,1008
276,1007
262,1006
236,1002
285,999
288,996
240,995
283,994
224,991
264,991
217,989
229,985
235,983
247,981
278,980
261,976
289,973
282,972
279,971
280,970
275,968
226,965
223,964
292,962
239,962
252,961
220,960
277,956
218,955
216,954
221,952
290,951
284,948
230,948
295,945
297,943
286,936
231,922
291,922
287,918
208,916
215,916
294,912
222,908
209,905
300,897
293,895
219,894
211,894
213,888
214,883
296,882
302,872
210,869
298,867
301,864
304,861
299,860
305,858
212,857
205,850
203,844
321,837
311,837
201,834
303,830
313,828
310,825
309,824
200,823
204,822
207,820
307,819
306,814
206,811
195,810
196,809
312,806
308,803
198,797
316,797
320,794
315,790
318,788
314,787
202,785
324,774
193,769
317,767
319,755
194,752
322,748
323,741
197,740
188,727
333,725
199,724
329,714
185,708
326,703
328,700
192,692
325,691
184,688
190,687
330,685
327,679
186,669
332,661
331,660
336,659
187,657
189,657
335,653
334,650
337,650
191,649
338,641
181,638
339,635
177,625
345,618
182,616
341,614
344,613
183,612
340,610
343,604
347,602
342,600
179,597
178,592
348,588
350,585
180,584
353,571
346,568
176,557
364,551
174,547
349,545
352,544
360,542
362,532
175,531
351,525
354,521
173,519
371,516
172,516
355,513
169,511
356,508
365,508
361,504
359,500
363,496
170,496
367,487
357,483
171,482
372,478
368,476
370,475
168,469
366,465
358,465
373,463
369,461
167,448
165,447
375,446
166,445
380,440
374,439
376,438
161,434
163,433
160,428
162,422
381,418
157,410
377,403
382,399
164,392
383,388
385,380
379,376
387,375
378,375
159,374
388,371
389,371
154,370
394,368
158,368
384,365
390,363
386,363
153,359
155,358
392,354
391,353
152,347
150,346
396,345
402,335
400,335
156,332
398,332
395,324
393,322
397,319
145,318
404,317
403,317
149,316
399,309
406,308
151,307
408,302
417,295
148,294
143,294
411,291
144,290
405,284
401,282
407,281
409,281
412,280
425,272
146,269
413,268
410,267
414,264
420,264
147,263
141,263
416,259
418,257
136,256
422,255
419,255
434,249
423,249
424,246
426,240
415,239
139,239
142,236
137,232
421,231
140,229
429,227
433,226
428,225
427,223
138,216
134,214
444,213
435,213
438,210
439,207
431,204
432,203
430,203
437,202
133,198
135,197
442,196
436,196
441,192
447,191
440,187
446,185
443,185
131,185
130,184
129,184
445,181
448,179
132,176
450,176
459,173
451,168
453,168
449,168
458,167
464,166
457,165
128,164
456,163
472,162
455,160
470,159
454,159
463,158
466,157
452,157
467,155
468,155
462,153
126,153
125,149
461,149
460,149
121,146
127,145
473,142
124,141
120,139
469,139
465,138
483,137
119,136
477,133
481,132
471,132
476,131
122,131
474,127
115,127
123,127
475,125
488,125
490,124
494,121
116,121
478,117
489,116
482,115
496,113
492,113
502,112
480,112
497,111
491,110
521,109
495,109
484,108
479,107
487,107
118,106
485,106
498,106
112,105
501,103
508,102
511,100
500,100
499,100
113,99
515,99
506,98
505,97
486,97
117,97
513,97
493,96
509,96
504,96
107,95
503,95
516,93
111,91
529,91
517,90
518,89
528,88
110,87
519,86
105,86
507,85
540,85
537,84
109,84
522,84
512,83
530,83
510,83
524,82
520,81
102,80
566,80
542,80
98,79
561,79
523,78
527,77
101,76
532,76
534,75
114,75
535,73
526,73
106,73
514,73
565,72
104,72
549,70
108,70
575,70
544,69
555,69
97,69
543,68
568,68
100,68
525,68
533,68
545,68
552,68
536,66
547,66
572,66
541,65
554,65
93,65
531,65
94,64
559,63
99,62
96,62
95,62
538,60
591,59
570,59
548,59
573,58
564,58
550,58
563,58
579,58
539,56
556,56
103,56
585,56
86,56
599,56
557,56
569,56
34,55
89,55
578,55
592,55
546,55
553,55
560,54
90,54
567,54
91,54
85,53
47,53
558,53
604,53
574,52
610,52
92,52
593,52
562,52
600,52
551,52
625,51
582,51
88,51
80,51
52,50
587,50
45,50
577,49
586,48
597,48
603,48
72,48
594,47
46,47
60,47
57,47
69,46
73,46
35,46
639,46
606,46
576,46
83,46
619,45
81,45
589,45
571,45
588,45
76,45
609,44
68,44
616,44
48,44
51,43
620,43
79,43
646,43
65,43
74,43
598,43
613,42
54,42
78,42
650,42
615,42
605,42
623,42
595,41
70,41
617,41
53,41
67,41
583,41
87,40
614,40
601,40
55,40
44,40
612,40
62,40
42,39
40,39
580,39
602,39
608,39
632,38
61,38
596,38
621,38
82,38
627,38
622,38
84,38
635,37
64,37
59,37
628,37
629,37
43,37
41,37
38,37
56,37
607,37
637,37
636,35
77,35
33,35
37,35
63,35
689,35
58,34
611,34
581,33
626,33
584,33
71,33
32,33
39,33
666,32
663,32
658,32
631,32
688,32
49,32
641,32
630,32
693,32
671,31
665,31
701,31
36,31
618,31
590,31
75,30
659,30
638,30
50,30
718,29
686,29
634,29
633,29
645,29
624,29
66,29
647,28
685,28
28,28
702,28
723,28
654,28
29,27
737,27
31,27
684,27
669,27
678,27
705,27
651,27
674,27
664,27
652,26
667,26
687,26
643,26
734,26
690,26
670,25
649,25
27,25
691,24
711,24
672,24
712,24
660,24
768,24
704,24
675,23
692,23
644,23
726,23
736,23
694,23
719,23
683,23
668,23
696,23
676,23
699,23
695,22
745,22
640,22
722,22
748,22
682,22
648,22
24,22
680,22
681,22
764,22
662,22
653,21
709,21
679,21
642,21
781,21
698,21
732,21
707,21
727,20
703,20
710,20
730,20
656,20
716,20
802,20
756,20
657,20
729,20
755,20
673,20
739,20
677,20
661,20
30,19
749,19
25,19
715,19
774,19
766,19
720,19
706,19
700,18
788,18
790,18
23,18
708,18
803,18
750,18
758,18
800,17
740,17
714,17
910,17
789,17
797,17
733,17
772,17
801,17
26,17
770,17
753,17
738,17
827,17
728,17
777,17
864,17
763,17
762,17
735,17
721,17
791,17
655,17
814,17
829,16
747,16
796,16
798,16
754,16
725,16
759,16
811,16
757,16
780,16
806,16
769,16
752,16
717,16
743,15
724,15
808,15
917,15
742,15
902,15
804,15
744,15
778,15
792,15
793,15
776,15
713,15
21,15
760,15
771,15
923,15
782,14
813,14
761,14
842,14
822,14
830,14
816,14
731,14
812,14
820,14
853,13
823,13
786,13
894,13
787,13
697,13
825,13
773,13
896,13
783,13
907,13
900,13
809,13
765,13
938,12
836,12
22,12
843,12
892,12
826,12
873,12
19,12
840,12
779,12
751,12
794,12
909,12
767,12
942,12
918,12
862,11
974,11
785,11
850,11
18,11
997,11
1040,11
845,11
891,11
936,11
877,11
784,11
846,11
847,11
861,11
944,10
851,10
854,10
890,10
895,10
903,10
980,10
824,10
1071,10
839,10
948,10
841,10
799,10
885,10
957,10
852,10
869,10
950,10
992,10
849,10
899,10
818,10
934,10
746,10
954,10
831,10
828,10
986,9
1097,9
856,9
807,9
815,9
908,9
921,9
906,9
904,9
819,9
858,9
1077,9
865,9
832,9
952,9
860,9
838,9
988,9
795,9
775,9
883,9
875,9
810,9
884,9
817,9
872,9
920,9
881,9
898,9
863,8
878,8
951,8
16,8
868,8
1133,8
1016,8
17,8
876,8
1053,8
1017,8
943,8
935,8
932,8
1038,8
976,8
962,8
901,8
927,8
1059,8
914,8
1063,8
998,8
834,8
949,8
741,8
916,8
922,8
1014,8
1003,8
882,8
14,8
939,8
1121,8
925,8
984,8
972,8
870,7
975,7
886,7
987,7
1041,7
1192,7
1021,7
1032,7
880,7
1013,7
933,7
964,7
1004,7
959,7
928,7
1145,7
1106,7
912,7
1060,7
866,7
1087,7
1107,7
941,7
1028,7
857,7
805,7
1018,7
821,7
929,7
1037,7
1005,7
833,7
1274,7
1034,7
871,7
1026,7
1083,7
956,7
1159,6
1236,6
991,6
1135,6
970,6
966,6
1089,6
897,6
1082,6
1473,6
1064,6
1108,6
1187,6
1490,6
1066,6
1105,6
983,6
1078,6
1027,6
1312,6
993,6
879,6
971,6
1138,6
985,6
1033,6
1050,6
1186,6
867,6
893,6
930,6
945,6
1065,6
1072,6
1009,6
1029,6
1189,6
1249,6
1102,6
848,6
1362,6
937,6
1389,6
919,5
1043,5
1008,5
1207,5
1290,5
961,5
1205,5
1100,5
1365,5
924,5
874,5
995,5
1109,5
1252,5
1336,5
888,5
973,5
1010,5
953,5
1006,5
1030,5
1152,5
1022,5
1254,5
889,5
1046,5
1267,5
1144,5
1130,5
1208,5
1402,5
1147,5
1113,5
1051,5
931,5
1069,5
1148,5
913,5
1120,5
965,5
968,5
1057,5
1122,5
1129,5
1181,5
1183,5
1320,5
1204,5
1011,5
1168,5
20,5
859,5
1463,5
1211,5
1299,5
969,5
911,5
1086,5
1067,5
1019,5
1115,5
855,5
1458,5
887,5
1164,5
1101,5
1178,5
1333,5
1218,5
1195,5
1394,4
940,4
1412,4
1304,4
1012,4
1124,4
1300,4
1296,4
1277,4
1054,4
1501,4
1283,4
1379,4
1141,4
1039,4
1637,4
1278,4
1193,4
1322,4
1052,4
1182,4
1263,4
999,4
1663,4
1792,4
1007,4
1061,4
1131,4
905,4
1261,4
1446,4
835,4
1114,4
1272,4
1137,4
1196,4
1000,4
1439,4
1414,4
1351,4
1023,4
1172,4
967,4
1157,4
1167,4
978,4
1165,4
1385,4
994,4
1203,4
1237,4
1149,4
982,4
1201,4
1621,4
1170,4
1140,4
963,4
1206,4
1400,4
1558,4
1096,4
1179,4
958,4
1162,4
1173,4
1225,4
1217,4
1081,4
1406,4
1048,4
1484,4
1024,4
1150,4
1095,4
1590,4
1036,4
1270,4
1198,4
1020,4
844,4
1094,4
915,4
1025,4
996,4
1055,4
1142,4
1586,4
1002,4
1125,4
1223,4
946,4
947,4
990,4
1001,4
926,3
1361,3
1241,3
1445,3
1435,3
2436,3
1158,3
1377,3
1235,3
1112,3
1111,3
1470,3
1056,3
1569,3
1298,3
1136,3
1117,3
2454,3
1707,3
1334,3
1074,3
1143,3
2056,3
1486,3
1371,3
1519,3
1269,3
1228,3
1462,3
1505,3
1079,3
1250,3
1232,3
981,3
1424,3
1275,3
1337,3
1433,3
1139,3
1323,3
1734,3
1668,3
1541,3
1128,3
1346,3
1234,3
1316,3
837,3
1396,3
1456,3
1533,3
1951,3
1247,3
1461,3
1231,3
1443,3
1449,3
1426,3
1068,3
1326,3
1245,3
1442,3
1199,3
1603,3
1209,3
1177,3
1321,3
1363,3
1163,3
1702,3
1127,3
1413,3
1044,3
1450,3
1132,3
1466,3
1155,3
9,3
1194,3
1787,3
1015,3
1937,3
1085,3
1281,3
1220,3
1088,3
960,3
2230,3
1474,3
1160,3
1403,3
1423,3
955,3
1214,3
1075,3
1352,3
1330,3
1166,3
1511,3
1118,3
1819,3
1246,3
1255,3
1681,3
1098,3
2207,3
1279,3
1073,3
1047,3
1546,3
1341,3
1091,3
1369,3
2276,3
1251,3
1090,2
1436,2
1528,2
1500,2
2161,2
1425,2
1349,2
1104,2
1765,2
1487,2
15,2
1305,2
1496,2
3740,2
1093,2
1259,2
1518,2
979,2
1318,2
1620,2
2272,2
1497,2
1483,2
1508,2
1584,2
1805,2
1215,2
1314,2
2288,2
1282,2
1459,2
1510,2
1988,2
1530,2
2561,2
1589,2
1452,2
1045,2
1794,2
1070,2
1475,2
1613,2
1476,2
1416,2
1340,2
1375,2
1185,2
1191,2
1645,2
1266,2
1641,2
1494,2
1058,2
1733,2
1454,2
2048,2
1307,2
1616,2
1383,2
2831,2
1568,2
1978,2
1276,2
1550,2
1294,2
1633,2
1092,2
1868,2
1384,2
1665,2
1419,2
1253,2
1908,2
1243,2
1288,2
1134,2
1404,2
1921,2
1540,2
1216,2
1308,2
2217,2
1378,2
1566,2
1171,2
1391,2
2072,2
1358,2
1331,2
1302,2
1422,2
1190,2
1989,2
1301,2
1344,2
1432,2
1627,2
1802,2
977,2
1682,2
1441,2
1348,2
1693,2
1465,2
1606,2
1889,2
1084,2
1116,2
1815,2
1393,2
1604,2
1504,2
1723,2
1879,2
1291,2
1248,2
2240,2
1146,2
1123,2
1582,2
1256,2
1478,2
1680,2
1622,2
1202,2
1319,2
1430,2
1640,2
1768,2
1602,2
1221,2
2053,2
2032,2
1180,2
1534,2
1313,2
1174,2
1169,2
1732,2
1368,2
2147,2
1684,2
3012,2
1555,2
1042,2
1376,2
1309,2
1587,2
1031,2
2388,2
1374,2
2559,2
1285,2
1230,2
2458,2
1295,2
10,2
1328,2
1675,2
1979,2
1823,2
1284,2
1327,2
1709,2
1343,2
1912,2
1415,2
1386,2
1573,2
1287,2
1176,2
1049,2
1694,2
1197,2
1151,2
1273,2
1517,2
2057,2
1219,2
1649,2
1548,2
2003,2
1306,2
2081,2
1188,2
1498,2
1373,2
1224,2
1310,2
1156,2
2096,2
1629,2
1329,2
2162,1
1512,1
2294,1
3015,1
1372,1
1669,1
2275,1
1280,1
1808,1
2725,1
7,1
1897,1
1773,1
3902,1
1957,1
2402,1
1706,1
4417,1
1987,1
2129,1
2200,1
2628,1
2720,1
1936,1
2431,1
1601,1
1492,1
2363,1
2020,1
1624,1
1539,1
2407,1
3728,1
2139,1
2058,1
2846,1
1623,1
1099,1
2989,1
1735,1
2799,1
3716,1
1429,1
2031,1
1972,1
1556,1
2026,1
3131,1
3072,1
1477,1
1642,1
2353,1
1678,1
1836,1
989,1
3087,1
2126,1
2188,1
1926,1
1918,1
2017,1
1679,1
1227,1
3063,1
1407,1
1737,1
1345,1
1814,1
1605,1
3449,1
1482,1
2532,1
1609,1
1062,1
2946,1
1536,1
1788,1
1941,1
2991,1
1888,1
1455,1
1711,1
1919,1
1565,1
1357,1
1405,1
2642,1
1428,1
2035,1
1457,1
1303,1
1664,1
1965,1
1514,1
2821,1
1286,1
1549,1
2805,1
2823,1
1721,1
1076,1
